Ano,Categoria,Produto,Quantidade(L)
1971,OUTROS PRODUTOS COMERCIALIZADOS,Coquetel com vinho,-
1971,OUTROS PRODUTOS COMERCIALIZADOS,Destilado de vinho,1.023.876
1971,OUTROS PRODUTOS COMERCIALIZADOS,Filtrado doce,432.991
1971,OUTROS PRODUTOS COMERCIALIZADOS,Jeropiga,-
1971,OUTROS PRODUTOS COMERCIALIZADOS,Mistelas,81.510
1971,OUTROS PRODUTOS COMERCIALIZADOS,Mosto concentrado,20.502
1971,OUTROS PRODUTOS COMERCIALIZADOS,Mosto de uva,-
1971,OUTROS PRODUTOS COMERCIALIZADOS,Mosto sulfitado,410.850
1971,OUTROS PRODUTOS COMERCIALIZADOS,Nectar de uva,-
1971,OUTROS PRODUTOS COMERCIALIZADOS,Outros produtos,-
1971,OUTROS PRODUTOS COMERCIALIZADOS,Polpa de uva,-
1971,OUTROS PRODUTOS COMERCIALIZADOS,Preparado líquido para refresco,-
1971,OUTROS PRODUTOS COMERCIALIZADOS,Refrigerante +50% suco,-
1971,OUTROS PRODUTOS COMERCIALIZADOS,Sangria,-
1971,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre balsamico,-
1971,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre duplo,-
1971,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre simples,1.256.068
1971,OUTROS PRODUTOS COMERCIALIZADOS,Vinho acetificado,-
1971,OUTROS PRODUTOS COMERCIALIZADOS,Vinho base para espumantes,-
1971,OUTROS PRODUTOS COMERCIALIZADOS,Vinho composto,3.645.774
1971,OUTROS PRODUTOS COMERCIALIZADOS,Vinho licoroso,2.475.632
1971,OUTROS PRODUTOS COMERCIALIZADOS,Vinho leve,-
1971,OUTROS PRODUTOS COMERCIALIZADOS,Vinho gaseificado,-
1972,VINHO DE MESA,Tinto,101.167.932
1972,VINHO DE MESA,Rosado,7.770.851
1972,VINHO DE MESA,Branco,9.438.584
1972,VINHO FINO DE MESA,Tinto,624.499
1972,VINHO FINO DE MESA,Rosado,403.664
1972,VINHO FINO DE MESA,Branco,4.573.928
1972,VINHO ESPECIAL,Tinto,4.347.706
1972,VINHO ESPECIAL,Rosado,1.901.801
1972,VINHO ESPECIAL,Branco,2.488.098
1972,ESPUMANTES,Espumante  Moscatel,-
1972,ESPUMANTES,Espumante,-
1972,ESPUMANTES,Espumante Orgânico,-
1972,SUCO DE UVAS,Suco Natural Integral,-
1972,SUCO DE UVAS,Suco Adoçado,-
1972,SUCO DE UVAS,Suco Reprocessado/reconstituido,-
1972,SUCO DE UVAS,Suco Orgânico,-
1972,SUCO DE UVAS,Outros sucos de uvas,-
