Opção,Ano,Países,Quantidade(Kg.),Valor (US$)
Vinhos de mesa,1971,Nova Zelândia,-,-
Vinhos de mesa,1971,Países Baixos (Holanda),-,-
Vinhos de mesa,1971,Panamá,-,-
Vinhos de mesa,1971,Paraguai,-,-
Vinhos de mesa,1971,Peru,-,-
Vinhos de mesa,1971,Porto Rico,-,-
Vinhos de mesa,1971,Portugal,897.310,620.790
Vinhos de mesa,1971,Reino Unido,-,-
Vinhos de mesa,1971,Republica Dominicana,-,-
Vinhos de mesa,1971,Romênia,-,-
Vinhos de mesa,1971,Rússia,-,-
Vinhos de mesa,1971,San Marino,-,-
Vinhos de mesa,1971,Sérvia,-,-
Vinhos de mesa,1971,Síria,-,-
Vinhos de mesa,1971,Suazilândia,-,-
Vinhos de mesa,1971,Suíça,-,-
Vinhos de mesa,1971,"Tcheca, República",-,-
Vinhos de mesa,1971,Tunísia,-,-
Vinhos de mesa,1971,Turquia,-,-
Vinhos de mesa,1971,Ucrânia,-,-
Vinhos de mesa,1971,Uruguai,1.917,636
Vinhos de mesa,1971,Não consta na tabela,-,-
Vinhos de mesa,1971,Não declarados,-,-
Vinhos de mesa,1971,Outros,77.789,42.028
Vinhos de mesa,1971,Total,1.450.155,936.854
Vinhos de mesa,1972,Africa do Sul,-,-
Vinhos de mesa,1972,Alemanha,134.438,92.103
Vinhos de mesa,1972,Argélia,-,-
Vinhos de mesa,1972,Arábia Saudita,-,-
Vinhos de mesa,1972,Argentina,104.906,58.137
Vinhos de mesa,1972,Armênia,-,-
Vinhos de mesa,1972,Austrália,-,-
Vinhos de mesa,1972,Áustria,353,520
Vinhos de mesa,1972,Bermudas,-,-
Vinhos de mesa,1972,Bélgica,-,-
Vinhos de mesa,1972,Bolívia,-,-
Vinhos de mesa,1972,Bósnia-Herzegovina,-,-
Vinhos de mesa,1972,Brasil,-,-
Vinhos de mesa,1972,Bulgária,-,-
Vinhos de mesa,1972,Canada,-,-
Vinhos de mesa,1972,Chile,161.736,95.654
Vinhos de mesa,1972,China,-,-
Vinhos de mesa,1972,"Coreia do Sul, República",-,-
Vinhos de mesa,1972,Croácia,-,-
Vinhos de mesa,1972,Cuba,-,-
Vinhos de mesa,1972,Emirados Árabes Unidos,-,-
Vinhos de mesa,1972,Eslovênia,-,-
Vinhos de mesa,1972,Eslováquia,-,-
Vinhos de mesa,1972,Espanha,300.582,116.710
Vinhos de mesa,1972,Estados Unidos,2.156,1.337
Vinhos de mesa,1972,França,176.688,173.001
Vinhos de mesa,1972,Geórgia,-,-
Vinhos de mesa,1972,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Vinhos de mesa,1972,Grécia,-,-
Vinhos de mesa,1972,Hong Kong,-,-
Vinhos de mesa,1972,Hungria,-,-
Vinhos de mesa,1972,Indonésia,-,-
Vinhos de mesa,1972,Irlanda,-,-
Vinhos de mesa,1972,Israel,-,-
Vinhos de mesa,1972,Itália,142.196,96.943
Vinhos de mesa,1972,Japão,-,-
Vinhos de mesa,1972,Iugoslávia,1.824,1.137
Vinhos de mesa,1972,Líbano,-,-
Vinhos de mesa,1972,Luxemburgo,-,-
Vinhos de mesa,1972,Macedônia,-,-
Vinhos de mesa,1972,Marrocos,-,-
Vinhos de mesa,1972,México,-,-
Vinhos de mesa,1972,Moldávia,-,-
Vinhos de mesa,1972,Montenegro,-,-
Vinhos de mesa,1972,Noruega,-,-
Vinhos de mesa,1972,Nova Zelândia,-,-
Vinhos de mesa,1972,Países Baixos (Holanda),-,-
Vinhos de mesa,1972,Panamá,-,-
Vinhos de mesa,1972,Paraguai,-,-
Vinhos de mesa,1972,Peru,-,-
Vinhos de mesa,1972,Porto Rico,-,-
Vinhos de mesa,1972,Portugal,1.650.727,1.226.232
Vinhos de mesa,1972,Reino Unido,-,-
Vinhos de mesa,1972,Republica Dominicana,-,-
Vinhos de mesa,1972,Romênia,-,-
Vinhos de mesa,1972,Rússia,-,-
Vinhos de mesa,1972,San Marino,-,-
Vinhos de mesa,1972,Sérvia,-,-
Vinhos de mesa,1972,Síria,-,-
Vinhos de mesa,1972,Suazilândia,-,-
Vinhos de mesa,1972,Suíça,-,-
Vinhos de mesa,1972,"Tcheca, República",-,-
Vinhos de mesa,1972,Tunísia,-,-
Vinhos de mesa,1972,Turquia,-,-
Vinhos de mesa,1972,Ucrânia,-,-
Vinhos de mesa,1972,Uruguai,7.394,2.741
Vinhos de mesa,1972,Não consta na tabela,-,-
Vinhos de mesa,1972,Não declarados,-,-
Vinhos de mesa,1972,Outros,79.052,25.032
Vinhos de mesa,1972,Total,2.762.052,1.889.547
Vinhos de mesa,1973,Africa do Sul,-,-
Vinhos de mesa,1973,Alemanha,111.523,98.638
Vinhos de mesa,1973,Argélia,-,-
Vinhos de mesa,1973,Arábia Saudita,-,-
Vinhos de mesa,1973,Argentina,116.887,76.121
Vinhos de mesa,1973,Armênia,-,-
Vinhos de mesa,1973,Austrália,-,-
Vinhos de mesa,1973,Áustria,2.310,2.081
Vinhos de mesa,1973,Bermudas,-,-
Vinhos de mesa,1973,Bélgica,-,-
Vinhos de mesa,1973,Bolívia,-,-
Vinhos de mesa,1973,Bósnia-Herzegovina,-,-
Vinhos de mesa,1973,Brasil,-,-
Vinhos de mesa,1973,Bulgária,-,-
Vinhos de mesa,1973,Canada,-,-
Vinhos de mesa,1973,Chile,301.559,212.140
Vinhos de mesa,1973,China,-,-
Vinhos de mesa,1973,"Coreia do Sul, República",-,-
Vinhos de mesa,1973,Croácia,-,-
Vinhos de mesa,1973,Cuba,-,-
Vinhos de mesa,1973,Emirados Árabes Unidos,-,-
Vinhos de mesa,1973,Eslovênia,-,-
Vinhos de mesa,1973,Eslováquia,-,-
Vinhos de mesa,1973,Espanha,226.805,117.135
Vinhos de mesa,1973,Estados Unidos,-,-
Vinhos de mesa,1973,França,259.060,435.641
Vinhos de mesa,1973,Geórgia,-,-
Vinhos de mesa,1973,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Vinhos de mesa,1973,Grécia,-,-
Vinhos de mesa,1973,Hong Kong,-,-
Vinhos de mesa,1973,Hungria,-,-
Vinhos de mesa,1973,Indonésia,-,-
Vinhos de mesa,1973,Irlanda,-,-
Vinhos de mesa,1973,Israel,-,-
Vinhos de mesa,1973,Itália,258.754,186.334
Vinhos de mesa,1973,Japão,-,-
Vinhos de mesa,1973,Iugoslávia,1.251,813
Vinhos de mesa,1973,Líbano,-,-
Vinhos de mesa,1973,Luxemburgo,-,-
Vinhos de mesa,1973,Macedônia,-,-
Vinhos de mesa,1973,Marrocos,-,-
Vinhos de mesa,1973,México,-,-
Vinhos de mesa,1973,Moldávia,-,-
Vinhos de mesa,1973,Montenegro,-,-
Vinhos de mesa,1973,Noruega,-,-
Vinhos de mesa,1973,Nova Zelândia,-,-
Vinhos de mesa,1973,Países Baixos (Holanda),-,-
Vinhos de mesa,1973,Panamá,-,-
Vinhos de mesa,1973,Paraguai,-,-
Vinhos de mesa,1973,Peru,-,-
Vinhos de mesa,1973,Porto Rico,-,-
Vinhos de mesa,1973,Portugal,2.818.320,2.238.637
Vinhos de mesa,1973,Reino Unido,-,-
Vinhos de mesa,1973,Republica Dominicana,-,-
Vinhos de mesa,1973,Romênia,-,-
Vinhos de mesa,1973,Rússia,-,-
Vinhos de mesa,1973,San Marino,-,-
Vinhos de mesa,1973,Sérvia,-,-
Vinhos de mesa,1973,Síria,-,-
Vinhos de mesa,1973,Suazilândia,-,-
Vinhos de mesa,1973,Suíça,-,-
Vinhos de mesa,1973,"Tcheca, República",-,-
Vinhos de mesa,1973,Tunísia,-,-
Vinhos de mesa,1973,Turquia,-,-
Vinhos de mesa,1973,Ucrânia,-,-
Vinhos de mesa,1973,Uruguai,-,-
Vinhos de mesa,1973,Não consta na tabela,-,-
Vinhos de mesa,1973,Não declarados,-,-
Vinhos de mesa,1973,Outros,4.306,5.775
Vinhos de mesa,1973,Total,4.100.775,3.373.315
Vinhos de mesa,1974,Africa do Sul,-,-
Vinhos de mesa,1974,Alemanha,219.173,202.502
Vinhos de mesa,1974,Argélia,-,-
Vinhos de mesa,1974,Arábia Saudita,-,-
Vinhos de mesa,1974,Argentina,215.930,167.473
Vinhos de mesa,1974,Armênia,-,-
Vinhos de mesa,1974,Austrália,-,-
Vinhos de mesa,1974,Áustria,5.301,7.394
Vinhos de mesa,1974,Bermudas,-,-
Vinhos de mesa,1974,Bélgica,-,-
Vinhos de mesa,1974,Bolívia,-,-
Vinhos de mesa,1974,Bósnia-Herzegovina,-,-
Vinhos de mesa,1974,Brasil,-,-
Vinhos de mesa,1974,Bulgária,-,-
Vinhos de mesa,1974,Canada,-,-
Vinhos de mesa,1974,Chile,550.691,429.885
Vinhos de mesa,1974,China,-,-
Vinhos de mesa,1974,"Coreia do Sul, República",-,-
Vinhos de mesa,1974,Croácia,-,-
Vinhos de mesa,1974,Cuba,-,-
Vinhos de mesa,1974,Emirados Árabes Unidos,-,-
Vinhos de mesa,1974,Eslovênia,-,-
Vinhos de mesa,1974,Eslováquia,-,-
Vinhos de mesa,1974,Espanha,362.577,215.208
Vinhos de mesa,1974,Estados Unidos,-,-
Vinhos de mesa,1974,França,316.584,465.175
Vinhos de mesa,1974,Geórgia,-,-
Vinhos de mesa,1974,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Vinhos de mesa,1974,Grécia,-,-
Vinhos de mesa,1974,Hong Kong,-,-
Vinhos de mesa,1974,Hungria,-,-
Vinhos de mesa,1974,Indonésia,-,-
Vinhos de mesa,1974,Irlanda,-,-
Vinhos de mesa,1974,Israel,-,-
Vinhos de mesa,1974,Itália,305.763,278.089
Vinhos de mesa,1974,Japão,-,-
Vinhos de mesa,1974,Iugoslávia,2.520,1.804
Vinhos de mesa,1974,Líbano,-,-
Vinhos de mesa,1974,Luxemburgo,-,-
Vinhos de mesa,1974,Macedônia,-,-
Vinhos de mesa,1974,Marrocos,-,-
Vinhos de mesa,1974,México,-,-
Vinhos de mesa,1974,Moldávia,-,-
Vinhos de mesa,1974,Montenegro,-,-
Vinhos de mesa,1974,Noruega,-,-
Vinhos de mesa,1974,Nova Zelândia,-,-
Vinhos de mesa,1974,Países Baixos (Holanda),-,-
Vinhos de mesa,1974,Panamá,-,-
Vinhos de mesa,1974,Paraguai,-,-
Vinhos de mesa,1974,Peru,-,-
Vinhos de mesa,1974,Porto Rico,-,-
Vinhos de mesa,1974,Portugal,2.245.288,1.917.710
Vinhos de mesa,1974,Reino Unido,-,-
Vinhos de mesa,1974,Republica Dominicana,-,-
Vinhos de mesa,1974,Romênia,-,-
Vinhos de mesa,1974,Rússia,-,-
Vinhos de mesa,1974,San Marino,-,-
Vinhos de mesa,1974,Sérvia,-,-
Vinhos de mesa,1974,Síria,-,-
Vinhos de mesa,1974,Suazilândia,-,-
Vinhos de mesa,1974,Suíça,-,-
Vinhos de mesa,1974,"Tcheca, República",-,-
Vinhos de mesa,1974,Tunísia,-,-
Vinhos de mesa,1974,Turquia,-,-
Vinhos de mesa,1974,Ucrânia,-,-
Vinhos de mesa,1974,Uruguai,-,-
Vinhos de mesa,1974,Não consta na tabela,-,-
Vinhos de mesa,1974,Não declarados,-,-
Vinhos de mesa,1974,Outros,21.501,28.163
Vinhos de mesa,1974,Total,4.245.328,3.713.403
Vinhos de mesa,1975,Africa do Sul,-,-
Vinhos de mesa,1975,Alemanha,134.354,149.931
Vinhos de mesa,1975,Argélia,-,-
Vinhos de mesa,1975,Arábia Saudita,-,-
Vinhos de mesa,1975,Argentina,145.823,90.855
Vinhos de mesa,1975,Armênia,-,-
Vinhos de mesa,1975,Austrália,-,-
Vinhos de mesa,1975,Áustria,8.835,5.560
Vinhos de mesa,1975,Bermudas,-,-
Vinhos de mesa,1975,Bélgica,-,-
Vinhos de mesa,1975,Bolívia,-,-
Vinhos de mesa,1975,Bósnia-Herzegovina,-,-
Vinhos de mesa,1975,Brasil,-,-
Vinhos de mesa,1975,Bulgária,-,-
Vinhos de mesa,1975,Canada,-,-
Vinhos de mesa,1975,Chile,952.233,764.780
Vinhos de mesa,1975,China,-,-
Vinhos de mesa,1975,"Coreia do Sul, República",-,-
Vinhos de mesa,1975,Croácia,-,-
Vinhos de mesa,1975,Cuba,-,-
Vinhos de mesa,1975,Emirados Árabes Unidos,-,-
Vinhos de mesa,1975,Eslovênia,-,-
Vinhos de mesa,1975,Eslováquia,-,-
Vinhos de mesa,1975,Espanha,174.608,123.102
