Ano,Categoria,Produto,Quantidade(L.)
1972,DERIVADOS,Base Charmat champanha,-
1972,DERIVADOS,Bebida de uva,-
1972,DERIVADOS,Polpa de uva,-
1972,DERIVADOS,Mosto simples,6.051.822
1972,DERIVADOS,Mosto concentrado,-
1972,DERIVADOS,Mosto de uva com bagaço,-
1972,DERIVADOS,Mosto dessulfitado,-
1972,DERIVADOS,Mistelas,871.200
1972,DERIVADOS,Néctar de uva,-
1972,DERIVADOS,Licorosos,254.600
1972,DERIVADOS,Compostos,1.358.300
1972,DERIVADOS,Jeropiga,-
1972,DERIVADOS,Filtrado,-
1972,DERIVADOS,Frisante,-
1972,DERIVADOS,Vinho leve,-
1972,DERIVADOS,Vinho licoroso,-
1972,DERIVADOS,Brandy,-
1972,DERIVADOS,Destilado,-
1972,DERIVADOS,Bagaceira,755.350
1972,DERIVADOS,Licor de bagaceira,-
1972,DERIVADOS,Vinagre,8.200
1972,DERIVADOS,Borra líquida,3.015.037
1972,DERIVADOS,Borra seca,-
1972,DERIVADOS,Vinho Composto,-
1972,DERIVADOS,Pisco,-
1972,DERIVADOS,Vinho orgânico,-
1972,DERIVADOS,Espumante orgânico,-
1972,DERIVADOS,Destilado alcoólico simples de bagaceira,-
1972,DERIVADOS,Vinho acidificado,-
1972,DERIVADOS,Mosto parcialmente fermentado,-
1972,DERIVADOS,Outros derivados,-
1973,VINHO DE MESA,-,116.710.345
1973,VINHO DE MESA,Tinto,88.589.019
1973,VINHO DE MESA,Branco,243.900
1973,VINHO DE MESA,Rosado,27.877.426
1973,VINHO FINO DE MESA (VINIFERA),-,12.368.410
1973,VINHO FINO DE MESA (VINIFERA),Tinto,3.419.625
1973,VINHO FINO DE MESA (VINIFERA),Branco,7.930.070
1973,VINHO FINO DE MESA (VINIFERA),Rosado,1.018.715
1973,SUCO,-,-
1973,SUCO,Suco de uva integral,-
1973,SUCO,Suco de uva concentrado,-
1973,SUCO,Suco de uva adoçado,-
1973,SUCO,Suco de uva orgânico,-
1973,SUCO,Suco de uva reconstituído,-
1973,DERIVADOS,-,28.317.919
1973,DERIVADOS,Espumante,-
